Customer_ID,Age,Gender,Location,Subscription_Type,Monthly_Charges,Tenure_Months,Payment_Method,Support_Calls,Total_Usage_GB,Churn
32,29,Female,Urban,Basic,43.2,19,Credit Card,4,44.13,Yes
33,75,Male,Urban,Premium,74.37,37,PayPal,3,495.46,No
34,39,Male,Urban,Standard,43.25,1,Debit Card,8,392.41,Yes
35,78,Male,Urban,Basic,48.09,60,Credit Card,0,353.13,Yes
36,61,Male,Suburban,Basic,60.75,67,Debit Card,4,134.57,No
37,42,Female,Rural,Basic,95.56,49,Crypto,0,25.23,No
38,66,Male,Urban,Standard,19.8,46,Credit Card,5,489.41,No
39,44,Female,Rural,Standard,12.96,48,Credit Card,9,74.78,Yes
40,76,Female,Suburban,Premium,64.72,68,Debit Card,8,415.45,Yes
41,59,Male,Urban,Premium,95.42,19,Credit Card,1,99.56,No
42,45,Female,Suburban,Basic,99.08,40,Credit Card,3,187.67,Yes
43,77,Male,Suburban,Basic,53.57,6,Credit Card,7,347.1,Yes
44,33,Female,Suburban,Basic,52.13,63,Credit Card,2,472.74,No
45,32,Male,Rural,Basic,68.05,35,Credit Card,6,10.87,Yes
46,79,Female,Urban,Premium,60.01,61,PayPal,6,131.12,Yes
47,79,Female,Rural,Standard,67.07,5,Crypto,1,382.72,No
48,64,Male,Suburban,Standard,88.66,37,Credit Card,9,87.52,Yes
49,79,Female,Urban,Standard,77.17,11,Credit Card,3,56.62,Yes
50,68,Female,Suburban,Basic,54.72,40,Credit Card,0,24.05,No
51,61,Male,Urban,Basic,51.57,65,Credit Card,7,251.74,Yes
52,72,Male,Rural,Standard,67.56,8,Credit Card,9,384.1,Yes
53,69,Female,Suburban,Standard,51.01,11,Credit Card,9,480.91,No
54,74,Female,Urban,Basic,51.2,71,PayPal,8,134.48,Yes
55,20,Female,Urban,Standard,11.47,58,Credit Card,0,61.56,No
56,54,Female,Suburban,Premium,25.67,48,Credit Card,6,201.87,No
57,68,Female,Urban,Standard,53.97,13,Credit Card,0,28.66,Yes
58,24,Female,Urban,Standard,84.04,60,Credit Card,0,166.35,No
59,38,Male,Urban,Standard,35.09,49,PayPal,8,321.9,Yes
60,26,Male,Urban,Standard,57.04,67,Credit Card,9,84.91,Yes
61,56,Female,Urban,Standard,41.05,7,Crypto,9,316.31,Yes
62,35,Female,Urban,Premium,19.43,25,Credit Card,5,486.0,Yes
63,21,Male,Urban,Basic,96.25,23,Debit Card,0,432.24,Yes
64,42,Male,Suburban,Standard,86.92,51,Crypto,6,179.06,Yes
65,77,Female,Suburban,Basic,17.06,47,Credit Card,2,211.33,Yes
66,31,Female,Urban,Basic,74.78,5,Credit Card,9,210.24,Yes
67,67,Male,Urban,Standard,41.28,13,Debit Card,3,430.09,No
68,75,Male,Suburban,Premium,99.54,42,Credit Card,3,496.92,No
69,26,Male,Urban,Basic,37.22,5,Debit Card,7,413.12,Yes
70,43,Male,Urban,Basic,31.49,23,Credit Card,0,279.5,Yes
71,70,Male,Urban,Basic,61.11,62,Credit Card,7,49.59,No
72,19,Male,Rural,Standard,85.16,1,Credit Card,8,477.29,Yes
73,37,Female,Suburban,Basic,27.33,54,PayPal,6,430.16,No
74,45,Male,Suburban,Basic,73.85,3,Credit Card,0,420.86,Yes
75,64,Female,Suburban,Standard,15.53,64,Credit Card,6,196.52,No
76,77,Female,Suburban,Basic,92.7,51,Debit Card,5,224.14,No
77,24,Male,Urban,Standard,17.3,2,Credit Card,4,60.71,No
78,61,Female,Suburban,Standard,92.28,49,Credit Card,4,469.0,Yes
79,78,Male,Urban,Basic,54.17,31,Credit Card,0,471.67,No
80,25,Female,Suburban,Standard,50.33,3,Debit Card,5,127.97,Yes
81,64,Male,Suburban,Standard,97.6,35,Debit Card,3,348.31,No
82,52,Female,Suburban,Standard,99.13,36,Credit Card,0,102.54,Yes
83,31,Female,Urban,Standard,68.52,64,Credit Card,7,197.08,No
84,34,Male,Urban,Basic,21.44,32,Debit Card,7,151.89,Yes
85,53,Male,Suburban,Premium,55.56,18,Debit Card,3,195.41,Yes
86,67,Female,Suburban,Standard,57.62,34,Credit Card,6,155.18,Yes
87,57,Female,Rural,Basic,56.3,56,Credit Card,2,173.3,No
88,21,Male,Urban,Basic,61.25,67,Credit Card,7,395.74,Yes
89,19,Female,Suburban,Basic,11.69,53,Debit Card,6,150.71,Yes
90,79,Male,Suburban,Basic,74.01,67,Crypto,4,407.53,No
91,23,Female,Rural,Standard,74.12,66,Credit Card,4,284.39,No
92,71,Male,Suburban,Basic,20.39,64,Credit Card,8,390.44,No
93,59,Female,Suburban,Basic,61.32,67,Credit Card,5,459.53,No
94,21,Male,Suburban,Standard,61.15,39,Credit Card,5,70.07,Yes
95,71,Male,Suburban,Basic,71.42,38,Credit Card,1,172.6,No
96,46,Male,Rural,Standard,17.69,40,PayPal,4,28.72,Yes
97,35,Male,Urban,Standard,66.39,19,Credit Card,3,204.05,Yes
98,43,Female,Urban,Basic,35.27,5,Debit Card,9,119.46,Yes
99,61,Male,Rural,Standard,55.63,69,Credit Card,2,286.27,Yes
100,51,Female,Suburban,Standard,79.6,14,PayPal,8,391.91,Yes
101,27,Male,Suburban,Basic,73.51,49,Debit Card,6,243.7,No
102,79,Male,Urban,Basic,20.7,64,Credit Card,3,167.48,Yes
103,53,Male,Urban,Standard,63.21,57,PayPal,8,77.13,Yes
104,31,Male,Suburban,Premium,97.22,35,Credit Card,8,14.39,No
105,48,Male,Suburban,Standard,24.11,5,Debit Card,6,339.26,Yes
106,65,Male,Urban,Basic,86.76,39,PayPal,4,16.24,Yes
107,32,Female,Urban,Standard,73.23,24,Credit Card,8,460.5,Yes
108,25,Male,Rural,Standard,79.66,40,Debit Card,6,297.52,Yes
109,31,Female,Urban,Standard,35.38,50,PayPal,8,177.29,No
110,40,Female,Rural,Standard,35.91,58,Crypto,2,21.91,Yes
111,77,Male,Urban,Standard,91.54,1,Debit Card,8,207.33,Yes
112,74,Male,Suburban,Premium,42.38,43,Credit Card,0,433.78,No
113,79,Female,Rural,Standard,15.67,39,Debit Card,4,484.94,No
114,57,Female,Suburban,Standard,64.05,10,Debit Card,1,43.38,Yes
115,38,Female,Urban,Basic,21.23,2,Debit Card,0,388.79,Yes
116,33,Male,Suburban,Premium,81.69,63,PayPal,2,129.92,No
117,62,Female,Urban,Premium,67.76,16,Credit Card,6,190.34,No
118,35,Female,Urban,Basic,88.73,37,Credit Card,2,274.29,Yes
119,64,Female,Rural,Standard,80.64,16,Debit Card,9,497.37,Yes
120,70,Female,Suburban,Basic,20.09,27,Crypto,9,105.2,Yes
121,41,Male,Suburban,Standard,44.3,63,Credit Card,8,66.12,No
122,43,Male,Urban,Standard,79.71,64,Crypto,2,297.89,No
123,42,Female,Urban,Basic,47.56,32,PayPal,5,426.67,No
124,77,Female,Urban,Premium,97.51,9,PayPal,1,324.46,Yes
125,77,Male,Suburban,Basic,76.22,11,PayPal,7,174.44,Yes
126,77,Male,Suburban,Standard,11.39,70,PayPal,9,488.51,No
127,62,Male,Suburban,Standard,89.2,30,PayPal,4,497.52,No
128,58,Male,Rural,Basic,19.07,15,Debit Card,1,385.55,No
129,46,Female,Urban,Basic,22.65,59,Credit Card,6,401.41,Yes
130,32,Female,Urban,Basic,76.1,48,Credit Card,2,380.66,Yes
131,62,Male,Urban,Standard,87.85,60,Credit Card,4,129.57,Yes
132,18,Male,Urban,Standard,58.27,68,Credit Card,8,75.98,Yes
133,42,Male,Urban,Basic,36.01,57,Credit Card,0,277.62,No
134,24,Male,Rural,Basic,41.62,64,PayPal,1,477.12,Yes
135,26,Female,Urban,Basic,40.86,54,Debit Card,4,439.27,Yes
136,41,Female,Rural,Standard,39.4,54,Credit Card,3,54.32,No
137,18,Female,Urban,Standard,31.86,59,Debit Card,0,29.44,Yes
138,61,Male,Rural,Basic,64.8,39,Credit Card,6,437.01,Yes
139,25,Female,Suburban,Standard,91.04,15,Credit Card,8,306.89,Yes
140,41,Female,Rural,Basic,37.64,28,PayPal,0,152.86,No
141,28,Female,Urban,Premium,26.8,36,Credit Card,7,281.32,No
142,68,Male,Suburban,Premium,85.47,54,Debit Card,8,111.61,Yes
143,34,Male,Rural,Standard,76.76,17,Credit Card,1,473.53,Yes
144,25,Male,Urban,Premium,93.78,22,Debit Card,0,413.77,Yes
145,52,Male,Urban,Premium,24.9,36,PayPal,5,481.16,Yes
146,52,Male,Urban,Premium,22.98,29,Credit Card,6,94.34,No
147,50,Male,Rural,Standard,58.73,55,Crypto,1,421.99,Yes
148,76,Female,Suburban,Basic,65.3,42,Credit Card,4,280.58,No
149,22,Female,Suburban,Basic,53.22,32,Debit Card,4,163.17,No
150,59,Male,Urban,Basic,63.91,14,PayPal,6,240.35,Yes
151,56,Male,Urban,Standard,26.23,18,PayPal,0,472.25,Yes
152,75,Female,Rural,Basic,53.17,38,Credit Card,9,346.03,Yes
153,58,Female,Urban,Basic,69.23,34,Credit Card,7,180.6,No
154,45,Female,Suburban,Standard,48.94,45,Debit Card,4,499.95,No
155,24,Female,Rural,Basic,71.15,32,Credit Card,2,173.53,Yes
156,26,Female,Urban,Standard,50.61,67,Credit Card,8,407.05,No
157,25,Female,Suburban,Premium,40.02,63,Debit Card,2,392.4,Yes
158,29,Male,Urban,Standard,37.32,55,Debit Card,6,361.74,No
159,51,Male,Suburban,Standard,46.98,43,Credit Card,9,335.05,No
160,50,Male,Urban,Standard,12.08,22,Credit Card,6,55.22,Yes
161,65,Male,Suburban,Standard,70.17,68,PayPal,9,497.48,Yes
162,72,Male,Urban,Basic,86.06,29,Debit Card,7,81.36,Yes
163,40,Female,Urban,Premium,41.92,40,Debit Card,9,298.47,Yes
164,79,Female,Suburban,Basic,14.14,45,Credit Card,7,125.32,No
165,41,Female,Urban,Basic,98.81,10,Credit Card,3,85.22,Yes
166,54,Male,Suburban,Standard,33.73,45,Credit Card,0,280.17,Yes
167,52,Female,Urban,Basic,21.4,17,Debit Card,3,418.34,No
168,61,Female,Suburban,Basic,43.28,2,Credit Card,5,189.1,Yes
169,57,Male,Urban,Basic,76.47,17,Debit Card,9,39.51,Yes
170,39,Female,Suburban,Basic,36.45,38,Debit Card,5,312.26,No
171,44,Male,Urban,Basic,61.72,37,Debit Card,5,383.45,No
172,52,Male,Urban,Basic,47.4,63,Credit Card,6,148.75,No
173,18,Female,Urban,Standard,20.6,5,Debit Card,0,345.6,No
174,52,Male,Suburban,Premium,39.73,25,Debit Card,9,38.82,Yes
175,54,Male,Urban,Basic,75.24,22,Credit Card,0,181.35,No
176,64,Female,Rural,Premium,65.08,63,Credit Card,6,237.59,Yes
177,31,Female,Rural,Basic,20.78,35,Debit Card,3,391.2,No
178,20,Male,Urban,Basic,24.7,55,Credit Card,5,169.73,No
179,18,Male,Suburban,Basic,67.67,20,Credit Card,5,227.4,Yes
180,22,Male,Urban,Standard,83.21,5,Credit Card,8,314.55,Yes
181,43,Female,Urban,Standard,41.45,39,Credit Card,1,312.42,Yes
182,72,Male,Suburban,Standard,63.58,63,Crypto,3,259.36,No
183,31,Male,Suburban,Standard,25.36,32,Debit Card,3,164.91,Yes
184,56,Female,Suburban,Standard,38.02,63,Debit Card,6,335.29,Yes
185,44,Female,Urban,Standard,11.82,40,PayPal,0,418.74,Yes
186,26,Male,Urban,Premium,79.14,17,Debit Card,4,77.75,No
187,32,Female,Urban,Basic,46.09,32,Debit Card,3,170.89,Yes
188,32,Female,Suburban,Basic,83.45,23,Credit Card,1,334.71,No
189,43,Male,Suburban,Standard,73.75,60,Debit Card,4,378.13,Yes
190,59,Male,Suburban,Standard,84.59,56,Credit Card,8,390.95,Yes
191,77,Female,Urban,Basic,35.71,9,Credit Card,7,326.98,No
192,30,Male,Urban,Basic,26.66,69,Credit Card,8,239.66,Yes
193,68,Female,Urban,Standard,97.47,62,Credit Card,6,323.25,No
194,49,Male,Urban,Standard,74.56,64,Credit Card,9,68.39,No
195,56,Male,Urban,Basic,85.06,22,Credit Card,6,104.67,Yes
196,66,Male,Rural,Premium,11.18,32,PayPal,1,463.84,No
197,69,Male,Rural,Standard,41.9,47,Credit Card,2,461.16,Yes
198,78,Male,Suburban,Standard,76.85,2,PayPal,9,362.22,Yes
199,49,Male,Urban,Standard,17.02,52,Debit Card,7,164.2,Yes
200,21,Female,Urban,Premium,61.06,14,Debit Card,1,324.77,No
201,47,Female,Rural,Basic,48.62,37,Credit Card,6,344.21,No
202,54,Female,Urban,Basic,11.59,27,PayPal,5,258.04,Yes
203,40,Female,Rural,Standard,31.24,24,Credit Card,9,374.51,No
204,56,Male,Urban,Standard,35.63,64,Debit Card,3,15.82,No
205,62,Female,Urban,Basic,20.07,70,Debit Card,3,128.85,Yes
206,32,Male,Rural,Premium,66.84,26,Credit Card,2,397.43,No
207,60,Female,Urban,Standard,31.82,54,Credit Card,5,469.41,No
208,46,Female,Suburban,Basic,34.99,15,Credit Card,2,438.17,No
209,53,Female,Suburban,Basic,90.84,29,PayPal,8,358.53,Yes
210,30,Female,Urban,Basic,52.04,28,PayPal,3,83.58,Yes
211,49,Female,Urban,Standard,45.29,59,PayPal,3,184.99,Yes
212,24,Male,Suburban,Premium,75.15,21,Credit Card,1,26.06,No
213,76,Male,Suburban,Standard,91.87,10,Credit Card,1,320.29,Yes
214,68,Female,Urban,Premium,12.25,4,Credit Card,6,225.48,Yes
215,39,Male,Rural,Premium,50.34,62,PayPal,4,286.93,Yes
216,45,Female,Urban,Standard,64.97,4,Credit Card,2,489.7,Yes
217,19,Female,Urban,Standard,38.67,6,Credit Card,5,201.72,Yes
218,59,Male,Urban,Standard,79.52,16,PayPal,5,154.05,Yes
219,62,Female,Urban,Standard,97.43,38,Debit Card,0,76.15,Yes
220,79,Female,Urban,Basic,94.91,49,Debit Card,2,72.66,Yes
221,74,Female,Rural,Standard,33.94,61,Credit Card,4,259.77,No
222,70,Female,Urban,Basic,30.37,65,Credit Card,6,374.86,No
223,23,Female,Urban,Premium,96.17,50,PayPal,3,282.67,No
224,45,Female,Urban,Premium,51.28,17,Debit Card,7,436.77,No
225,45,Female,Suburban,Basic,28.75,28,Credit Card,2,158.62,No
226,61,Male,Rural,Basic,73.63,44,Credit Card,5,297.93,Yes
227,61,Male,Urban,Standard,35.6,12,Credit Card,5,330.96,No
228,37,Female,Urban,Standard,34.05,70,Debit Card,8,141.06,Yes
229,47,Male,Urban,Basic,89.13,71,Credit Card,3,198.76,No
230,79,Female,Urban,Standard,24.62,3,Debit Card,6,295.88,Yes
231,28,Female,Urban,Basic,15.8,49,Debit Card,9,11.44,No
232,75,Male,Urban,Basic,34.23,21,Debit Card,0,443.42,Yes
233,72,Female,Urban,Basic,64.63,8,Credit Card,0,56.42,No
234,45,Female,Suburban,Basic,21.08,64,Debit Card,1,24.73,No
235,42,Female,Urban,Standard,52.44,59,Debit Card,3,108.3,Yes
236,56,Male,Rural,Premium,66.46,30,Credit Card,5,251.66,Yes
237,79,Male,Rural,Standard,86.39,32,Crypto,3,165.02,Yes
238,50,Male,Suburban,Standard,30.69,20,Credit Card,5,220.63,No
239,18,Female,Urban,Basic,83.56,16,Debit Card,1,43.05,Yes
240,74,Male,Urban,Standard,31.14,25,Credit Card,8,117.32,Yes
241,44,Female,Urban,Basic,70.91,60,Debit Card,2,49.73,Yes
242,79,Male,Suburban,Standard,48.76,45,Debit Card,6,115.62,Yes
243,74,Male,Urban,Premium,20.32,9,Credit Card,0,351.95,Yes
244,69,Female,Rural,Basic,74.28,51,Debit Card,7,288.07,Yes
245,30,Female,Rural,Standard,29.6,61,Debit Card,3,167.65,Yes
246,58,Male,Urban,Basic,25.9,40,Debit Card,4,131.35,Yes
247,20,Male,Suburban,Basic,42.25,61,Credit Card,6,498.77,No
248,56,Male,Urban,Basic,68.8,67,Credit Card,2,384.17,Yes
249,23,Female,Urban,Basic,31.06,15,Debit Card,8,411.2,Yes
250,25,Female,Urban,Basic,26.53,53,Credit Card,8,14.16,Yes
251,44,Male,Urban,Basic,10.9,4,Debit Card,7,30.73,No
252,26,Male,Rural,Standard,52.45,23,Credit Card,0,356.59,Yes
253,79,Male,Urban,Basic,48.58,27,Credit Card,1,96.72,Yes
254,54,Female,Urban,Standard,31.05,37,PayPal,1,213.4,Yes
255,50,Female,Suburban,Premium,14.83,43,Debit Card,2,92.9,Yes
256,68,Male,Suburban,Standard,48.63,37,Debit Card,1,89.36,No
257,59,Female,Urban,Basic,80.94,29,PayPal,0,55.43,Yes
258,61,Male,Rural,Basic,74.38,29,Debit Card,4,297.54,No
259,41,Male,Suburban,Premium,87.47,49,Debit Card,5,369.91,No
260,32,Female,Urban,Standard,10.86,51,Crypto,6,29.37,Yes
261,76,Female,Urban,Standard,96.98,50,Debit Card,9,138.5,Yes
262,71,Female,Urban,Basic,40.73,28,Debit Card,6,329.53,No
263,49,Female,Rural,Standard,99.14,5,Credit Card,1,196.77,Yes
264,49,Male,Suburban,Basic,32.74,56,PayPal,6,352.63,No
265,41,Female,Rural,Premium,52.44,64,Credit Card,1,379.85,Yes
266,58,Male,Urban,Premium,41.85,17,Credit Card,1,17.11,Yes
267,69,Female,Urban,Basic,42.02,55,Credit Card,5,191.05,Yes
268,66,Male,Urban,Standard,85.81,9,Credit Card,5,364.84,Yes
269,79,Female,Urban,Basic,77.18,68,Credit Card,7,189.83,Yes
270,66,Male,Suburban,Standard,99.29,16,PayPal,4,3.91,No
271,75,Male,Suburban,Premium,65.22,16,Debit Card,4,168.82,Yes
272,69,Female,Urban,Standard,51.69,13,Credit Card,9,436.45,Yes
273,29,Male,Urban,Basic,18.11,63,Debit Card,0,476.02,Yes
274,79,Female,Urban,Basic,99.69,41,Debit Card,3,280.7,Yes
275,56,Male,Urban,Premium,59.64,53,Debit Card,0,153.87,No
276,19,Male,Urban,Standard,73.04,68,Credit Card,9,233.57,Yes
277,20,Male,Urban,Standard,46.61,9,PayPal,4,118.87,Yes
278,66,Male,Urban,Basic,59.29,51,Credit Card,7,84.89,No
279,54,Female,Urban,Basic,94.83,48,Credit Card,0,247.27,No
280,66,Male,Urban,Premium,24.98,49,Credit Card,2,368.61,Yes
281,73,Female,Urban,Standard,36.31,18,Debit Card,0,112.01,Yes
282,34,Female,Suburban,Standard,23.69,10,Debit Card,5,454.86,Yes
283,76,Male,Urban,Standard,81.3,54,Credit Card,9,84.95,No
284,66,Female,Rural,Standard,15.58,15,Credit Card,0,279.65,Yes
285,19,Female,Urban,Basic,17.35,11,Debit Card,9,388.42,Yes
286,19,Female,Urban,Basic,36.86,40,Debit Card,2,107.48,Yes
287,45,Male,Urban,Standard,56.28,47,Credit Card,4,148.93,Yes
288,71,Male,Urban,Standard,46.56,20,PayPal,4,26.69,No
289,40,Female,Rural,Standard,14.03,22,Crypto,1,472.03,No
290,54,Female,Urban,Premium,96.17,48,Credit Card,2,244.0,Yes
291,49,Female,Rural,Basic,95.76,16,Debit Card,8,33.09,Yes
292,50,Male,Rural,Basic,35.14,5,Credit Card,0,415.23,No
293,18,Female,Suburban,Premium,75.84,65,Debit Card,0,285.1,No
294,36,Male,Suburban,Standard,62.07,21,Credit Card,1,28.59,No
295,79,Female,Suburban,Standard,31.37,61,Credit Card,7,226.0,No
296,19,Male,Urban,Standard,33.6,55,Debit Card,5,217.77,Yes
297,70,Female,Suburban,Standard,54.2,24,PayPal,3,73.89,Yes
298,61,Male,Urban,Basic,47.73,23,Credit Card,6,210.77,Yes
299,43,Male,Urban,Standard,36.21,11,Credit Card,5,142.12,Yes
300,49,Female,Urban,Premium,82.68,47,Credit Card,8,350.27,Yes
301,23,Male,Suburban,Standard,53.33,2,Debit Card,5,3.74,Yes
302,49,Male,Rural,Standard,68.94,70,Debit Card,1,54.08,No
303,72,Male,Urban,Basic,27.03,53,Debit Card,2,459.41,No
304,21,Female,Rural,Basic,58.02,11,Debit Card,8,217.23,No
305,72,Female,Urban,Basic,38.62,15,Debit Card,6,88.91,Yes
306,28,Male,Urban,Basic,57.38,12,Debit Card,5,396.82,Yes
307,73,Female,Urban,Premium,80.27,36,Debit Card,4,425.94,Yes
308,76,Female,Urban,Standard,79.2,23,Debit Card,2,106.4,No
309,34,Male,Urban,Standard,41.88,27,PayPal,3,357.09,No
310,55,Female,Suburban,Standard,72.48,14,Credit Card,0,307.95,Yes
311,41,Female,Rural,Basic,94.72,54,Credit Card,4,372.78,No
312,22,Female,Urban,Premium,66.31,27,Credit Card,6,394.16,Yes
313,69,Male,Urban,Basic,23.36,21,PayPal,1,330.81,No
314,51,Female,Rural,Basic,71.17,49,Credit Card,7,478.15,Yes
315,23,Female,Suburban,Standard,19.44,62,Credit Card,9,432.25,Yes
316,39,Male,Urban,Premium,88.49,44,Crypto,5,115.26,Yes
317,28,Male,Urban,Premium,56.5,44,PayPal,9,456.87,Yes
318,65,Male,Rural,Basic,44.66,61,Crypto,2,180.44,Yes
319,33,Male,Suburban,Premium,15.13,42,Credit Card,1,363.54,No
320,50,Female,Urban,Basic,44.27,23,PayPal,7,424.16,No
321,26,Male,Urban,Basic,91.29,1,Credit Card,3,218.75,No
322,77,Male,Rural,Premium,11.89,36,Credit Card,6,26.7,No
323,76,Female,Urban,Premium,52.72,55,Credit Card,6,474.88,Yes
324,23,Male,Rural,Standard,93.8,16,Debit Card,9,37.17,No
325,33,Female,Urban,Standard,45.54,18,Credit Card,8,174.71,No
326,46,Male,Suburban,Premium,48.54,38,Debit Card,9,298.63,No
327,20,Male,Urban,Standard,62.07,67,PayPal,7,59.65,No
328,37,Male,Urban,Premium,51.66,20,Credit Card,7,419.26,No
329,77,Male,Rural,Standard,25.17,19,Credit Card,6,102.51,Yes
330,76,Male,Urban,Premium,11.67,13,Credit Card,9,493.02,Yes
331,53,Female,Suburban,Premium,64.88,17,PayPal,4,458.3,Yes
332,36,Female,Urban,Basic,92.87,30,Credit Card,8,302.67,No
333,43,Male,Urban,Premium,19.57,43,Credit Card,6,330.35,Yes
334,20,Female,Urban,Standard,28.99,48,Credit Card,2,267.27,Yes
335,36,Female,Suburban,Basic,43.32,43,PayPal,5,196.16,No
336,37,Female,Urban,Standard,82.79,66,Credit Card,2,176.5,Yes
337,49,Male,Urban,Basic,34.23,53,Credit Card,5,445.94,No
338,24,Male,Urban,Standard,89.38,34,Credit Card,7,288.73,Yes
339,69,Male,Suburban,Premium,14.95,71,PayPal,8,411.82,Yes
340,58,Female,Suburban,Basic,94.69,13,Credit Card,1,257.52,No
341,50,Female,Urban,Standard,60.47,56,Debit Card,5,154.21,No
342,57,Male,Urban,Premium,69.29,59,Credit Card,2,46.79,Yes
343,56,Male,Rural,Standard,43.09,32,Crypto,6,162.52,No
344,35,Female,Urban,Basic,80.38,54,Debit Card,3,440.18,No
345,57,Female,Rural,Standard,24.99,2,Debit Card,4,356.27,Yes
346,18,Female,Rural,Standard,14.4,37,Credit Card,9,393.13,Yes
347,28,Female,Suburban,Standard,45.6,33,Credit Card,5,386.94,No
348,45,Male,Urban,Premium,86.83,1,Credit Card,7,60.87,Yes
349,74,Female,Rural,Standard,77.94,28,Debit Card,1,80.27,Yes
350,42,Female,Suburban,Premium,56.54,17,Crypto,3,159.3,No
351,67,Male,Suburban,Standard,61.49,57,Credit Card,3,151.21,Yes
352,40,Female,Urban,Basic,21.69,70,PayPal,5,33.97,Yes
353,48,Female,Urban,Standard,85.66,52,Credit Card,3,77.58,Yes
354,47,Male,Urban,Standard,80.83,44,PayPal,4,428.26,Yes
355,59,Female,Suburban,Standard,69.08,47,Credit Card,4,294.93,No
356,52,Female,Suburban,Basic,51.96,13,Credit Card,7,171.8,No
357,24,Female,Urban,Basic,96.8,30,Credit Card,3,263.71,No
358,77,Male,Urban,Basic,89.11,66,Debit Card,5,131.4,Yes
359,33,Male,Urban,Basic,68.0,53,Debit Card,6,292.34,Yes
360,43,Female,Suburban,Standard,43.46,18,Credit Card,7,38.24,Yes
361,65,Male,Rural,Basic,65.62,28,Debit Card,8,451.42,No
362,74,Female,Urban,Standard,61.79,4,Credit Card,9,120.98,Yes
363,69,Female,Urban,Basic,45.48,42,Credit Card,7,409.72,Yes
364,77,Male,Urban,Basic,37.6,6,Credit Card,3,330.34,Yes
365,66,Female,Suburban,Standard,46.63,9,Debit Card,3,261.98,Yes
366,19,Female,Suburban,Basic,61.65,20,Debit Card,9,464.97,Yes
367,18,Male,Rural,Premium,48.53,38,Debit Card,4,79.25,No
368,65,Female,Urban,Basic,33.72,68,Debit Card,2,60.52,Yes
369,79,Female,Rural,Standard,78.49,50,Credit Card,1,161.61,No
370,29,Female,Urban,Premium,57.83,60,Debit Card,1,415.28,No
371,22,Female,Suburban,Standard,16.09,13,Credit Card,8,18.57,Yes
372,54,Male,Urban,Basic,43.15,42,Debit Card,7,120.46,Yes
373,49,Female,Rural,Standard,89.64,68,Credit Card,5,212.93,No
374,76,Female,Suburban,Standard,77.97,25,Debit Card,8,356.76,Yes
375,72,Female,Suburban,Premium,39.09,31,Debit Card,4,150.36,Yes
376,26,Female,Rural,Premium,94.44,12,Credit Card,9,224.61,Yes
377,58,Male,Urban,Basic,16.89,64,Debit Card,0,169.09,No
378,52,Female,Urban,Premium,96.51,61,Credit Card,7,46.94,No
379,36,Male,Rural,Basic,32.11,53,Credit Card,2,369.6,No
380,65,Male,Urban,Basic,10.82,26,Debit Card,8,231.23,Yes
381,33,Male,Urban,Premium,49.04,61,PayPal,0,406.44,No
